[Artist Name],[Artist style Trained?],[Midjourney (prompt: artwork by <artist full name>)],[Midjourney (prompt: portrait of a person by <artist full name> --ar 2:3)],[Midjourney (prompt: environment design by <artist full name> --ar 16:9)],[extra example],"Author Specific prompt [first column for prompt, second for image] (author speciality)",
Gertrude Abercrombie,Yes,,,,,,
Giacomo Balla,Yes,,,,,,
Gil Elvgren,Yes,,,,,,
Gil Kane,Yes,,,,,,
Gilbert Shelton,Yes,,,,,,
Gilles Beloeil,NO,,,,,,
Gillis Rombouts,NO,,,,,,
Gina Heyer,NO,,,,,,
Giorgio Barbarelli Da Castelfranco,NO,,,,,,
Giorgio de Chirico,Yes,,,,,,
Giorgione,Yes,,,,,,
Giotto Di Bondone,Yes,,,,,,
Giovanni Antonio Canal,NO,,,,,,
Giovanni Battista Gaulli,NO,,,,,,
Giovanni Battista Piranesi,Yes,,,,,,
Giovanni Battista Tiepolo,Yes,,,,,,
Giovanni Bellini,Yes,,,,,,
Giuseppe Arcimboldo,Yes,,,,,,
Giuseppe Camuncoli,Yes,,,,,,
Glen Angus,NO,,,,,,
Glen Fabry,Yes,,,,,,
Glenn Fabry,Yes,,,,,,
Gloria Stoll Karn,NO,,,,,,
Go Nagai,Yes,,,,,,
Goro Fujita,NO,,,,,,
Gosho Aoyama,NO,,,,,,
Gottfried Helnwein,Yes,,,,,,
Govert Teunisz Flinck,Yes,,,,,,
Graham Ingels,NO,,,,,,
Grant Wood,Yes,,,,,,
Gray Morrow,Yes,,,,,,
Greg Hildebrandt,Yes,,,,,,
Greg Rutkowski,NO,,,,,,
Greg Staples,NO,,,,,,
Gregory Crewdson,Yes,,,,,,
Gregory Manchess,NO,,,,,,
Grzegorz Domaradzki,NO,,,,,,
Gu Hongzhong,NO,,,,,,
Guido Borelli da Caluso,Yes,,,,,,
Guido Crepax,Yes,,,,,,
Guo Xi,NO,,,,,,
Gustaf Tenggren,Yes,,,,,,
Gustav Klimt,Yes,,,,,,
Gustav Vigeland,Yes,,,,,,
Gustave Caillebotte,Yes,,,,,,
Gustave Courbet,Yes,,,,,,
Gustave Doré,Yes,,,,,,
Gustave Moreau,Yes,,,,,,
Gustave Van de Woestijne,Yes,,,,,,
Gustavo Silva Nuez,NO,,,,,,
Guweiz,NO,,,,,,
Gwen John,Yes,,,,,,
H. R. Giger,Yes,,,,,,
